Timestamp,Type,Domain,Brand,Title,OldPrice,NewPrice,DiscountPct,URL
2026-07-23T01:08:08.044Z,New Arrival,venbafragrance.com,The Harmonist,The Harmonist Florae Nebulae Parfum (Tester),,229.99,,https://venbafragrance.com/products/the-harmonist-florae-nebulae-parfum-tester
2026-07-23T01:08:08.044Z,New Arrival,venbafragrance.com,Sospiro,Sospiro Mezzo EDP (Tester),,199.99,,https://venbafragrance.com/products/sospiro-mezzo-edp-tester
2026-07-23T01:08:08.044Z,New Arrival,venbafragrance.com,Amouage,Amouage Existence EDP,,359.99,,https://venbafragrance.com/products/amouage-existence-edp
